sample num_seq
PO010715_02_92bp 6817653.0
PO010715_02_rep_92bp 7823165.0
PO010715_04_92bp 3432097.0
PO010715_06.1_92bp 2473192.0
PO010715_08.1_92bp 2503625.0
PO010715_10.1_92bp 3106846.0
PO010715_11.1_92bp 3372281.0
PO010715_12_92bp 3295834.0
PO010715_17.1_92bp 2645508.0
PO010715_19.1_92bp 2927703.0
PO010715_27.1_92bp 2937015.0
PO010715_28.1_92bp 3255176.0
PO010715_29.1_92bp 3110048.0
PO020515_01_92bp 2640637.0
PO020515_03.1_92bp 3142354.0
PO020515_05.1_92bp 3691453.0
PO020515_06_92bp 8336214.0
PO020515_08.1_92bp 2808032.0
PO020515_09.1_92bp 3016815.0
PO020515_10.1_92bp 4812537.0
PO020515_14.1_92bp 3306735.0
PO020515_15.1_92bp 4916525.0
PO020515_16.1_92bp 3504202.0
PO020515_17.1_92bp 4137911.0
PO031715_03_92bp 2722559.0
PO031715_04_92bp 3094421.0
PO031715_13.1_92bp 3495400.0
PO031715_20.1_92bp 1961294.0
PO031715_23_92bp 4707310.0
PO031715_24_92bp 2820366.0
PO010715_26_2_92bp 4097320.0
PO010715_07_92bp 4070626.0
PO010715_07_rep_92bp 4135965.0
GE011215_01.1_92bp 3807454.0
GE011215_07.1_92bp 3631183.0
GE011215_08.1_92bp 2076442.0
GE011215_09.1_92bp 3758901.0
GE011215_10.1_92bp 3440184.0
GE011215_14.1_92bp 6549008.0
GE011215_15.1_92bp 5694239.0
GE011215_16.1_92bp 3791389.0
GE011215_18_92bp 6852956.0
GE011215_19_92bp 4019476.0
GE011215_20.1_92bp 4147822.0
GE011215_21.1_92bp 3384807.0
GE011215_22_92bp 6470888.0
GE011215_24.1_92bp 3134738.0
GE011215_28_92bp 3861430.0
GE011215_29.1_92bp 2245206.0
GE012315_01.1_92bp 2199367.0
GE012315_03.1_92bp 3747521.0
GE012315_05.1_92bp 3029457.0
GE012315_06.1_92bp 3646562.0
GE012315_08.1_92bp 2649848.0
GE012315_17.1_92bp 3009275.0
GE012315_20.1_92bp 3109124.0
GE012315_22.1_92bp 3048700.0
GEO012315_02_92bp 5152585.0
GEO012315_12_92bp 6131307.0
GEO012315_18_92bp 4614041.0
GEO012315_21_92bp 4819847.0
GE011215_11_92bp 8550021.0
GE011215_11_rep_92bp 7558364.0
NA021015_02.1_92bp 4039779.0
NA021015_08.1_92bp 2468650.0
NA021015_14.1_92bp 4332781.0
NA021015_16.1_92bp 5291624.0
NA021015_17.1_92bp 4162902.0
NA021015_21.1_92bp 3800139.0
NA021015_22.1_92bp 3309272.0
NA021015_23_92bp 2712287.0
NA021015_25_92bp 5191269.0
NA021015_26_92bp 3817109.0
NA021015_30_92bp 3712357.0
YS_121316_01_92bp 6316229.0
YS_121316_03_92bp 2808906.0
YS_121316_05_92bp 6635649.0
YS_121316_13_92bp 4409814.0
YS_121316_17_92bp 3900580.0
YS_121316_18_92bp 5165500.0
YS_121316_21_92bp 5653775.0
YS_121316_22_92bp 5677131.0
YS_121316_23_92bp 3985378.0
YS_121316_24_92bp 6058065.0
YS_121316_25_92bp 3211547.0
YS_121316_26_92bp 2863848.0
YS_121316_27_92bp 4262963.0
YS_121316_28_92bp 3981699.0
YS_121316_29_92bp 2857842.0
YS121315_08.1_92bp 2252448.0
YS121315_10.1_92bp 1311987.0
YS121315_12_92bp 5791989.0
YS121315_12_300_92bp 4038365.0
YS121315_15_92bp 4324878.0
YS121315_16_92bp 6716657.0
YS121316_30_92bp 4335330.0
YS_121316_04_92bp 1444967.0
YS_121316_19_92bp 980562.0
YS_121316_21_2_92bp 10601998.0
YS_121316_20_2_92bp 7233818.0
YS_121316_07_92bp 2921349.0
JUK07_01_92bp 3616220.0
JUK07_02.1_92bp 8561987.0
JUK07_02_rep.1_92bp 3929100.0
JUK07_03_92bp 3800860.0
JUK07_06.1_92bp 17189641.0
JUK07_09.1_92bp 7283224.0
JUK07_09_rep.1_92bp 7959380.0
JUK07_14_92bp 3822809.0
JUK07_15_92bp 6618897.0
JUK07_16.1_92bp 6629190.0
JUK07_16_rep.1_92bp 5945979.0
JUK07_17_92bp 2540837.0
JUK07_18_92bp 3931160.0
JUK07_19_92bp 4498926.0
JUK07_20_92bp 3519086.0
JUK07_22_92bp 2968381.0
JUK07_25_92bp 2183098.0
JUK07_26_92bp 4618372.0
JUK07_27_92bp 5317563.0
JUK07_28_92bp 2441945.0
JUK07_29.1_92bp 9984096.0
JUK07_30_92bp 9952413.0
JUK07_32_92bp 10988844.0
JUK07_36.1_92bp 4837063.0
JUK07_37.1_92bp 5751544.0
JUK07_10_92bp 966730.0
JUK07_13_92bp 2331019.0
JUK07_21_92bp 1992512.0
JUK07_23_92bp 6616902.0
JUK07_34_92bp 3598520.0
JUK07_04_92bp 2122471.0
JUK07_12_92bp 843226.0
JUK07_31_92bp 5458205.0
JUK07_11_92bp 2625620.0
JUK07_06_2_92bp 10884840.0
JUK07_08_92bp 6164980.0
JUK07_33_92bp 4761034.0
JB121807_01_92bp 2672936.0
JB121807_03.1_92bp 2695033.0
JB121807_04.1_92bp 626185.0
JB121807_05_92bp 1990280.0
JB121807_06.1_92bp 2942523.0
JB121807_08_92bp 2592970.0
JB121807_08_rep_92bp 2268661.0
JB121807_09.1_92bp 612073.0
JB121807_11.1_92bp 4079581.0
JB121807_12.1_92bp 1220369.0
JB121807_14.1_92bp 3532063.0
JB121807_16.1_92bp 1814325.0
JB121807_19.1_92bp 2325569.0
JB121807_20.1_92bp 1789463.0
JB121807_21.1_92bp 3461393.0
JB121807_24.1_92bp 2080584.0
JB121807_25_92bp 1119322.0
JB121807_27_92bp 1521654.0
JB121807_28.1_92bp 1348383.0
JB121807_30_92bp 1799365.0
JB121807_31.1_92bp 4858641.0
JB121807_32.1_92bp 3692041.0
JB121807_33.1_92bp 4011732.0
JB121807_34.1_92bp 3964034.0
JB121807_37_92bp 3947023.0
JB121807_38.1_92bp 3410899.0
JB121807_41.1_92bp 2021500.0
JB121807_42_92bp 2624412.0
JB121807_44_92bp 5447707.0
JB121807_46_92bp 3609690.0
JB121807_48.1_92bp 1626523.0
JB121807_22_c_92bp 3313335.0
JB121807_26_c_92bp 3862006.0
JB121807_39_92bp 8133702.0
JB121807_03_rep_92bp 7297187.0
JB121807_05_2_92bp 2716081.0
JB121807_35_2_92bp 1045274.0
JB121807_47_2_92bp 601315.0
JB121807_23_2_92bp 1844035.0
JB121807_27_2_92bp 2720735.0
JB121807_30_2_92bp 3019204.0
JB121807_16_2_92bp 5692288.0
JB121807_18_92bp 2622235.0
JB121807_43_92bp 3599829.0
JB121807_29_92bp 1504511.0
JB021108_01.1_92bp 826535.0
JB021108_02.1_92bp 4311669.0
JB021108_04.1_92bp 1816458.0
JB021108_05_92bp 10651977.0
JB021108_05_rep_92bp 12697218.0
JB021108_06_92bp 2104987.0
JB021108_07.1_92bp 2503842.0
JB021108_08.1_92bp 1721654.0
JB021108_09.1_92bp 4329770.0
JB021108_12.1_92bp 4944510.0
JB021108_13.1_92bp 2579086.0
JB021108_16_92bp 3108991.0
JB021108_17.1_92bp 2425901.0
JB021108_19.1_92bp 6267465.0
JB021108_20_92bp 1053046.0
JB021108_22.1_92bp 3244823.0
JB021108_25.1_92bp 1081054.0
JB021108_26.1_92bp 2900671.0
JB021108_29_92bp 1814690.0
JB021108_30_92bp 5002275.0
JB021108_32_92bp 7666082.0
JB021108_34_92bp 2553725.0
JB021108_35_92bp 910556.0
JB021108_35_rep_92bp 986962.0
JB021108_36.1_92bp 3564362.0
JB021108_36_rep.1_92bp 3473439.0
JB021108_37.1_92bp 3874496.0
JB021108_37_rep.1_92bp 3852296.0
JB021108_38.1_92bp 1459670.0
JB021108_39_92bp 2476612.0
JB021108_41.1_92bp 2899441.0
JB021108_44.1_92bp 3562001.0
JB021108_45_92bp 7512937.0
JB021108_46.1_92bp 5675208.0
JB021108_46_rep.1_92bp 3527876.0
JB021108_47.1_92bp 3923619.0
JB021108_48.1_92bp 7101400.0
JB021108_24_c_92bp 2981537.0
JB021108_33_rep_92bp 7652833.0
JB021108_11_2_92bp 1922970.0
JB021108_28_2_92bp 746368.0
JB021108_40_2_92bp 1167827.0
JB021108_14_2_92bp 2035030.0
JB021108_25_2_92bp 1555987.0
JB021108_31_2_92bp 2674493.0
JB021108_23_92bp 1216964.0
JB021108_11_rep_92bp 642350.0
BOR07_01_92bp 1717981.0
BOR07_02.1_92bp 4096017.0
BOR07_03_92bp 2968140.0
BOR07_04_92bp 5993580.0
BOR07_05.1_92bp 8659570.0
BOR07_06.1_92bp 4078253.0
BOR07_07.1_92bp 6259115.0
BOR07_08.1_92bp 9296113.0
BOR07_09_92bp 5769259.0
BOR07_11.1_92bp 6057266.0
BOR07_12.1_92bp 3962949.0
BOR07_13.1_92bp 4475682.0
BOR07_14_92bp 10735145.0
BOR07_15_92bp 7761056.0
BOR07_16_92bp 3692985.0
BOR07_17.1_92bp 3287279.0
BOR07_18_92bp 7110518.0
BOR07_19.1_92bp 5149426.0
BOR07_20.1_92bp 7747504.0
BOR07_21.1_92bp 3280358.0
BOR07_22_92bp 6685657.0
BOR07_01_2_92bp 3986942.0
BOR07_21_2_92bp 4331290.0
GEO020414_10_92bp 1962002.0
GEO020414_11_92bp 5803141.0
GEO020414_11_300_92bp 4659273.0
GEO020414_13_300_92bp 3172787.0
GEO020414_14_92bp 4039842.0
GEO020414_14_300_92bp 3494966.0
GEO020414_15_92bp 2336383.0
GEO020414_15_300_92bp 2039080.0
GEO020414_16_92bp 4033436.0
GEO020414_16_300_92bp 3618428.0
GEO020414_17_92bp 3864586.0
GEO020414_17_300_92bp 3057343.0
GEO020414_2_92bp 4056569.0
GEO020414_23_92bp 7069859.0
GEO020414_23_300_92bp 6158191.0
GEO020414_24_92bp 4525205.0
GEO020414_24_300_92bp 3842521.0
GEO020414_25_92bp 3666663.0
GEO020414_25_300_92bp 2587646.0
GEO020414_26_92bp 3752341.0
GEO020414_27_92bp 4659426.0
GEO020414_29_92bp 3083761.0
GEO020414_3_92bp 4784237.0
GEO020414_30_92bp 1585848.0
GEO020414_4_92bp 5641450.0
GEO020414_5_92bp 4831675.0
GEO020414_6_92bp 3555024.0
GEO020414_7_92bp 4631204.0
GEO020414_8_92bp 5825946.0
GEO020414_8_300_92bp 5328677.0
GEO020414_9_92bp 3815390.0
GEO020414_9_300_92bp 3311770.0
GEO020414_10_2_92bp 2970744.0
GEO020414_30_2_92bp 1798634.0
GEO020414_13_2_92bp 2092010.0
KOD03_035 2644952.0
KOD03_051 1353028.0
KOD03_052 3604717.0
KOD03_053 757340.0
KOD03_054 1783756.0
KOD03_056 1196107.0
KOD03_057 9225135.0
KOD03_058 1736725.0
KOD03_060 649419.0
KOD03_061 5100042.0
KOD03_062 1205638.0
KOD03_064 8943131.0
KOD03_065 3613026.0
KOD03_066 5240244.0
KOD03_067 6279450.0
KOD03_068 1158489.0
KOD03_069 2271243.0
KOD03_070 1027848.0
KOD03_071 4874649.0
KOD03_072 893099.0
KOD03_073 818087.0
KOD03_074 2681786.0
KOD03_075 1064316.0
KOD03_076 2305672.0
KOD03_077 1722277.0
KOD03_078 5446567.0
KOD03_079 1019426.0
KOD03_080 938589.0
KOD03_081 4371260.0
KOD03_082 3611611.0
KOD03_083 1744057.0
KOD03_084 3567750.0
KOD03_085 2731353.0
KOD03_086 925607.0
KOD03_088 645523.0
KOD03_089 3152894.0
KOD03_090 1947591.0
KOD03_091 793543.0
KOD03_093 1999342.0
KOD03_094 872727.0
KOD03_095 1145279.0
KOD03_096 2500238.0
KOD03_097 1222045.0
AD06_001 3940144.0
AD06_003 1411980.0
AD06_004 1803978.0
AD06_005 654749.0
AD06_006 1595556.0
AD06_007 1643190.0
AD06_008 3276393.0
AD06_009 979137.0
AD06_010 807241.0
AD06_012 966674.0
AD06_013 1315203.0
AD06_014 1261075.0
AD06_015 570114.0
AD06_016 1195799.0
AD06_017 4517040.0
AD06_018 2994936.0
AD06_019 1372215.0
AD06_020 1944788.0
AD06_021 1282219.0
AD06_023 1556284.0
AD06_024 487998.0
AD06_025 1946519.0
AD06_026 920444.0
AD06_027 989869.0
AD06_029 2624997.0
AD06_030 2681222.0
AD06_032 1595120.0
AD06_033 823197.0
AD06_035 2766599.0
AD06_036 3015665.0
AD06_037 2620433.0
AD06_038 1203097.0
AD06_039 1676390.0
AD06_040 2197139.0
AD06_041 2710989.0
AD06_042 1620324.0
AD06_043 764977.0
AD06_044 2814614.0
AD06_045 1523559.0
AD06_046 1549366.0
AD06_047 1424480.0
